,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
status_polymorph_random,Chaos polymorph,Хаотический полиморфизм,Polimorfia do caos,Polimorfo caotico,Chaos-Polymorph,Polymorphisme chaotique,混??形,カオスな多形?,변신 (혼돈),Kaoottinen polymorffi,,,
statusdesc_polymorph_random,A polymorph curse affects you.,На вас действует проклятие полиморфизма.,Uma maldicao de polimorfia afeta voce.,Sufres una maldicion de polimorfia.,Ein Polymorph-Fluch liegt auf dir.,Une malediction de polymorphisme vous affecte.,?受到?形??影?。,多形?の呪いがあなたに影響を?えます。,변신의 저주를 받고 있습니다.,Olet polymorffikirouksen alaisena.,,,
status_berserk,Berserk,Неистовство,Furia,Berserker,Berserker,Berserker,狂暴,バ?サ?ク,버서커,Raivohullu,,,
statusdesc_berserk,A berserk curse affects you.,На вас действует проклятие неистовства.,Uma maldicao de furia afeta voce.,Sufres una maldicion de berserker.,Ein Berserkerfluch liegt auf dir.,Une malediction de berserker vous affecte.,?受到狂暴??影?。,凶暴な呪いがあなたに影響を?えます。,버서커의 저주를 받고 있습니다.,Olet raivohulluus-kirouksen alaisena.,,,
status_charm,Charmed,Чары,Encantado,Embrujado,Bezaubert,Charme(e),迷惑,チャ?ム,매료됨,Lumottu,,,
statusdesc_charm,A charm affects you.,На вас действуют чары.,Um encantamento afeta voce.,Estas bajo un encantamiento,Eine Bezauberung liegt auf dir.,Un charme vous affecte.,?受到迷惑影?。,魔力があなたに影響を?えます。,매료의 영향을 받고 있습니다.,Olet lumouksen alaisena.,,,
status_invisibility,Invisible,Невидимость,Invisivel,Invisible,Unsichtbar,Invisible,?形,透明,투명,Nakymaton.,,,
statusdesc_invisibility,"The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.\nNo, you can't remove the clothes.","Волшебная жидкость на одежде превращает вас в невидимку.\nЗаклинание разрушается испачканной или мокрой одеждой.\nНет, одежду снять нельзя.","O liquido magico em suas roupas deixa voce invisivel.\nO feitico e interrompido por roupas manchadas ou molhadas.\nNao, voce nao pode tirar suas roupas.","El liquido magico en tu ropa te hace invisible.\nEl hechizo falla si la ropa se mancha o se moja.\nNo, no puedes quitarte la ropa.","Die magische Flussigkeit auf deiner Kleidung macht dich unsichtbar.\nDer Zauber wird von fleckiger oder nasser Kleidung gestort.\nNein, du kannst die Kleidung nicht ausziehen.","Le liquide magique sur vos vetements vous rend invisible.\nLe sort est perturbe par des vetements taches ou mouilles.\nNon, vous ne pouvez pas enlever ces vetements.",?衣服上的魔法液?令??形。\n衣服??或潮?，法??受到影?。\n不，??不能?衣服。,あなたの服に付いた魔法の液?が、あなたを透明にします。\nこの呪文は、シミの付いた、あるいは濡れた服によって邪魔されます。\nこの服を?ぐことはできません。,옷에 묻은 마법 액체에 의해 투명해졌습니다.\n옷이 젖거나 오염되면 효과가 방해됩니다.\n옷은 벗을 수 없습니다.,Olet nakymaton.,,,
status_on_fire,On fire ,В огне ,Em chamas ,Ardiendo ,In Flammen ,En feu ,着火 ,オンファイヤ? ,화재,Tulessa.,,,
statusdesc_on_fire,You're on fire. Find some water!,Вы загорелись. Нужна вода!,Voce esta pegando fogo. Encontre agua!,Estas ardiendo. ¡Encuentra agua!,Du stehst in Flammen. Finde etwas Wasser!,Vous etes en feu. Trouvez de l'eau !,?着火了。快去?水?！,あなたは燃えています。水を見つけないと！,불이 붙었습니다. 물을 찾으세요!,Olet tulessa. Juokse veteen!,,,
boss_limbs_limb_attacker,Spider leg,Паучья нога,Pata de aranha,Pata de arana,Spinnenbein,Patte d'araignee,蜘蛛腿,スパイダ?レッグ,거미 다리,,,,
biome_boss_arena,The Laboratory,Лаборатория,O Laboratorio,El Laboratorio,Das Labor,Le laboratoire,??室,?究所,연구실,,,,
biome_boss_victoryroom,The Work,Работа,O Trabalho,La Obra maestra,Das Große Werk,L'Œuvre,?大之作,至聖所,작업,,,,
biome_coalmine,mines,шахты,minas,minas,Minen,Mines,??,?山,광산,,,,
biome_coalmine_alt,collapsed mines,обрушенные шахты,minas desabadas,minas derrumbadas,Eingesturzte Minen,Mines effondrees,坍???,崩?した?山,무너진 광산,,,,
biome_crypt,Temple of the Art,Храм Искусства,Templo da Arte,Templo del Arte,Tempel der Kunst,Temple de l'art,?之神殿,芸術の神殿,기술의 사원,,,,
biome_desert,Desert,Пустыня,Deserto,Desierto,Wuste,Desert,沙漠,砂漠,사막,,,,
biome_dragoncave,Dragoncave,Драконья пещера,Caverna do Dragao,Cueva de dragon,Drachenhohle,Grotte du dragon,?窟,ドラゴンの洞窟,용의 동굴,,,,
biome_ending_placeholder,Master Symbol Crypt,Master Symbol Crypt,Master Symbol Crypt,Cripta del Simbolo Maestro,Meistersymbol-Krypta,Master Symbol Crypt,宗?符?地穴,マスタ?シンボルの穴?,마스터 심볼 지하실,,,,
biome_excavationsite,Coal Pits,Угольные карьеры,Fossos de Carvao,Simas de carbon,Kohlebergwerke,Mines de charbon,煤??坑,炭坑,석탄 구덩이,,,,
biome_fungicave,Fungal Caverns,Грибные пещеры,Cavernas Fungicas,Cavernas de los hongos,Pilzkavernen,Cavernes fongiques,?菌洞穴,?菌洞窟,곰팡이 동굴,,,,
biome_gold,Gold,Золото,Ouro,Mina de oro,Gold,Or,金?,ゴ?ルド,황금,,,,
biome_lake,Lake,Озеро,Lago,Lago,See,Lac,湖泊,湖,호수,,,,
biome_lava,Volcanic Lake,Вулканическое озеро,Lago Vulcanico,Lago volcanico,Vulkanischer See,Lac volcanique,火山湖,火山性の湖,화산 호수,,,,
biome_lavacave,Volcanic Cave,Вулканическая пещера,Caverna Vulcanica,Cueva volcanica,Vulkanischer Hohle,Grotte volcanique,火山洞穴,火山性の洞窟,화산 동굴,,,,
biome_magic_gate,Sanctuary,Святилище,Santuario,Santuario,Heiligtum,Sanctuaire,庇?所,聖域,성소,,,,
biome_null,unknown,неизвестно,desconhecido,desconocido,unbekannt,inconnu,未知,不明,모름,,,,
biome_pyramid,Pyramid,Пирамида,Piramide,Piramide,Pyramide,Pyramide,金字塔,ピラミッド,피라미드,,,,
biome_rainforest,Underground Jungle,Подземные джунгли,Selva Subterranea,Jungla subterranea,Unterirdischer Dschungel,Jungle souterraine,地下?林,地下ジャングル,지하 정글,,,,
biome_sandcave,Sandcave,Песчаная пещера,Caverna de areia,Cueva de arena,Sandhohle,Grotte de sable,砂之洞穴,砂の洞窟,모래 동굴,,,,
biome_secret_entrance,Mysterious Gate,Таинственные врата,Portao Misterioso,Puerta misteriosa,Mysterioses Tor,Porte mysterieuse,神秘之?,謎の門,신비한 문,,,,
biome_shop_room,Secret Shop,Секретный магазин,Loja Secreta,Tienda secreta,Geheimer Laden,Boutique secrete,秘密商店,秘密の店,비밀 상점,,,,
biome_snowcastle,Hiisi Base,База Хийси,Base Hiisi,Base Hiisi,Hiisi-Basis,Base hiisi,席西基地,ヒ?シの基地,히시 기지,,,,
biome_snowcave,Snowy Depths,Снежные глубины,Profundezas Nevadas,Profundidades nevadas,Verschneite Tiefen,Profondeurs enneigees,?雪深?,雪のどん底,눈 덮인 계곡,,,,
biome_town_under,twisty passages,извилистые ходы,passagens tortuosas,pasadizos retorcidos,gewundene Gange,Passages serpentins,?曲通道,曲がりくねった道,뒤틀린 길,,,,
biome_vault,The Vault,Убежище,O Cofre,La Camara,Das Gewolbe,Le coffre-fort,避?所,金庫室,금고,,,,
biome_wandcave,magical temple,волшебный храм,templo magico,templo magico,magischer Tempel,Temple magique,魔法神殿,魔法の神殿,마법 사원,,,,
biome_water,water,вода,agua,agua,Wasser,Eau,水,水,물,,,,
biome_winter,snowy wasteland,снежная пустошь,ermo nevado,yermo nevado,verschneites Odland,Terres gelees,落雪荒原,雪の荒地,눈 덮인 황무지,,,,
biome_holymountain,Holy Mountain,Святая гора,Montanha Sagrada,Montana Sagrada,Heiliger Berg,Montagne sacree,神?之山,聖なる山,신성한 산,Pyha Vuori,,This is a reference to the Jodorowsky film 'Holy Mountain',
biome_east,East $0,"$0, восток",$0 Oriental,$0 del este,$0 ? Ost,$0 est,$0以?,東 $0,동쪽 $0,,,,
biome_west,West $0,"$0, запад",$0 Ocidental,$0 del oeste,$0 ? West,$0 ouest,$0以西,西 $0,서쪽 $0,,,,
animal_player,Mina,,,,,,,,,,,doesn't need to be translated,
animal_boss_centipede,Kolmisilma,Kolmisilma,Tres-olhos,El ser de tres ojos,Dreiauge,Trois yeux,三眼,三つ目,콜미실마,,,Animal names (animal_) are in finnish. Should not be translated,
animal_boss_centipede_minion,Kolmisilman apuri,,,,,,,,,,,doesn't need to be translated,
animal_boss_limbs,Kolmisilman koipi,,,,,,,,,,,doesn't need to be translated,
animal_boss_dragon_endcrystal,Mato,,,,,,,,,,,doesn't need to be translated,
animal_lukki,Hamahakki,,,,,,,,,,,doesn't need to be translated,
animal_lukki_creepy,Kasvoton Hamahakki,,,,,,,,,,,doesn't need to be translated,
animal_lukki_creepy_long,Kasvoton Lukki,,,,,,,,,,,doesn't need to be translated,
animal_lukki_longleg,Lukki,,,,,,,,,,,doesn't need to be translated,
animal_acidshooter,Happonuljaska,,,,,,,,,,,doesn't need to be translated,
animal_alchemist,Alkemisti,,,,,,,,,,,doesn't need to be translated,
animal_ant,Murkku,,,,,,,,,,,doesn't need to be translated,
animal_assassin,Salamurhaajarobotti,,,,,,,,,,,doesn't need to be translated,
animal_barfer,Turvonnu velho,,,,,,,,,,,doesn't need to be translated,
animal_bat,Lepakko,,,,,,,,,,,doesn't need to be translated,
animal_bigbat,Suurlepakko,,,,,,,,,,,doesn't need to be translated,
animal_bigfirebug,Suurtulikarpanen,,,,,,,,,,,doesn't need to be translated,
animal_bigzombie,Mataneva ruumis,,,,,,,,,,,doesn't need to be translated,
animal_bigzombiehead,Mataneva paa,,,,,,,,,,,doesn't need to be translated,
animal_bigzombietorso,Mataneva kroppa,,,,,,,,,,,doesn't need to be translated,
animal_blob,Kiukkumoykky,,,,,,,,,,,doesn't need to be translated,
animal_bloodcrystal_physics,Verikristalli,,,,,,,,,,,doesn't need to be translated,
animal_bloom,Puska,,,,,,,,,,,doesn't need to be translated,
animal_boss_dragon,Suomuhauki,,,,,,,,,,,doesn't need to be translated,
animal_chest_mimic,Matkija,,,,,,,,,,,doesn't need to be translated,
animal_crystal_physics,Kirottu kristalli,,,,,,,,,,,doesn't need to be translated,
animal_darkghost,Haamu,,,,,,,,,,,doesn't need to be translated,
animal_deer,Nelikoipi,,,,,,,,,,,doesn't need to be translated,
animal_drone,Lennokki,,,,,,,,,,,doesn't need to be translated,
animal_drone_physics,Lennokki,,,,,,,,,,,doesn't need to be translated,
animal_duck,Ankka,,,,,,,,,,,doesn't need to be translated,
animal_eel,Nahkiainen,,,,,,,,,,,doesn't need to be translated,
animal_elk,Poro,,,,,,,,,,,doesn't need to be translated,
animal_firebug,Pikkutulikarpanen,,,,,,,,,,,doesn't need to be translated,
animal_firemage,Eldari,,,,,,,,,,,doesn't need to be translated,
animal_firemage_weak,Stendari,,,,,,,,,,,doesn't need to be translated,
animal_fireskull,Liekkio,,,,,,,,,,,doesn't need to be translated,
animal_fish,Evakas,,,,,,,,,,,doesn't need to be translated,
animal_fish_large,Suurevakas,,,,,,,,,,,doesn't need to be translated,
animal_flamer,Liekkari,,,,,,,,,,,doesn't need to be translated,
animal_fly,Amppari,,,,,,,,,,,doesn't need to be translated,
animal_frog,Konna,,,,,,,,,,,doesn't need to be translated,
animal_fungus,Laahustussieni,,,,,,,,,,,doesn't need to be translated,
animal_gazer,Helvetinkatse,,,,,,,,,,,doesn't need to be translated,
animal_ghost,Houre,,,,,,,,,,,doesn't need to be translated,
animal_ghoul,Sylkyri,,,,,,,,,,,doesn't need to be translated,
animal_giant,Hiidenkivi,,,,,,,,,,,doesn't need to be translated,
animal_giantshooter,Aitinuljaska,,,,,,,,,,,doesn't need to be translated,
animal_healerdrone_physics,Korjausdrone,,,,,,,,,,,doesn't need to be translated,
animal_icer,Jaahdytyslaite,,,,,,,,,,,doesn't need to be translated,
animal_iceskull,Jaatio,,,,,,,,,,,doesn't need to be translated,
animal_lasershooter,Mulkkio,,,,,,,,,,,doesn't need to be translated,
animal_longleg,Hamis,,,,,,,,,,,doesn't need to be translated,
animal_slimeshooter,Limanuljaska,,,,,,,,,,,doesn't need to be translated,
animal_slimeshooter_boss_limbs,Aitilimanuljaska,,,,,,,,,,,doesn't need to be translated,
animal_maggot,Toukka,,,,,,,,,,,doesn't need to be translated,
animal_mimic_physics,Matkija,,,,,,,,,,,doesn't need to be translated,
animal_miner,Tappurahiisi,,,,,,,,,,,doesn't need to be translated,
animal_miner_weak,Tappurahiisilainen,,,,,,,,,,,doesn't need to be translated,
animal_miner_fire,Tulihiisi,,,,,,,,,,,doesn't need to be translated,
animal_miner_santa,Jouluhiisi,,,,,,,,,,,doesn't need to be translated,
animal_mine_scavenger,Miina,,,,,,,,,,,doesn't need to be translated,
animal_miniblob,Moykky,,,,,,,,,,,doesn't need to be translated,
animal_missilecrab,Heinasirkka,,,,,,,,,,,doesn't need to be translated,
animal_necromancer,Stevari,,,,,,,,,,,doesn't need to be translated,
animal_pebble,Lohkare,,,,,,,,,,,doesn't need to be translated,
animal_pebble_player,Toveri lohkare,,,,,,,,,,,doesn't need to be translated,
animal_phantom_a,Spiraalikalma,,,,,,,,,,,doesn't need to be translated,
animal_phantom_b,Kiukkukalma,,,,,,,,,,,doesn't need to be translated,
animal_playerghost,Kummitus,,,,,,,,,,,doesn't need to be translated,
animal_rat,Rotta,,,,,,,,,,,doesn't need to be translated,
animal_roboguard,Robottikytta,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_clusterbomb,Isohiisi,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_grenade,Kranuhiisi,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_heal,Parantajahiisi,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_leader,Toimari,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_mine,Miinankylvaja,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_poison,Myrkkyhiisi,,,,,,,,,,,doesn't need to be translated,
animal_scavenger_smg,Rynkkyhiisi,,,,,,,,,,,doesn't need to be translated,
animal_scorpion,Skorpioni,,,,,,,,,,,doesn't need to be translated,
animal_sheep,Lammas,,,,,,,,,,,doesn't need to be translated,
animal_sheep_bat,Lentolammas,,,,,,,,,,,doesn't need to be translated,
animal_sheep_fly,Suhiseva lammas,,,,,,,,,,,doesn't need to be translated,
animal_shooterflower,Plasmakukka,,,,,,,,,,,doesn't need to be translated,
animal_shotgunner_weak,Heikko haulikkohiisi,,,,,,,,,,,doesn't need to be translated,
animal_shotgunner,Haulikkohiisi,,,,,,,,,,,doesn't need to be translated,
animal_skullfly,Kallokarpanen,,,,,,,,,,,doesn't need to be translated,
animal_skullrat,Kallorotta,,,,,,,,,,,doesn't need to be translated,
animal_sniper,Snipuhiisi,,,,,,,,,,,doesn't need to be translated,
animal_spitmonster,Helvetin sylkija,,,,,,,,,,,doesn't need to be translated,
animal_statue_physics,Patsas,,,,,,,,,,,doesn't need to be translated,
animal_tank,KK-Tankki,,,,,,,,,,,doesn't need to be translated,
animal_tank_rocket,IT-Tankki,,,,,,,,,,,doesn't need to be translated,
animal_tentacler,Turso,,,,,,,,,,,doesn't need to be translated,
animal_tentacler_small,Pikkuturso,,,,,,,,,,,doesn't need to be translated,
animal_thundermage,Ukko,,,,,,,,,,,doesn't need to be translated,
animal_turret,Torjuntalaite,,,,,,,,,,,doesn't need to be translated,
animal_wand_ghost,Taikasauva,,,,,,,,,,,doesn't need to be translated,
animal_wizard_dark,Sokaisunmestari,,,,,,,,,,,doesn't need to be translated,
animal_wizard_poly,Muodonmuutosmestari,,,,,,,,,,,doesn't need to be translated,
animal_wizard_tele,Siirtajamestari,,,,,,,,,,,doesn't need to be translated,
animal_wolf,Susi,,,,,,,,,,,doesn't need to be translated,
animal_worm,Mato,,,,,,,,,,,doesn't need to be translated,
animal_worm_big,Jattimato,,,,,,,,,,,doesn't need to be translated,
animal_worm_end,Helvetinmato,,,,,,,,,,,doesn't need to be translated,
animal_worm_skull,Kalmamato,,,,,,,,,,,doesn't need to be translated,
animal_worm_tiny,Pikkumato,,,,,,,,,,,doesn't need to be translated,
animal_zombie_weak,Heikkohurtta,,,,,,,,,,,doesn't need to be translated,
animal_zombie,Hurtta,,,,,,,,,,,doesn't need to be translated,
action_burst_2,Double spell,Двойное заклинание,Feitico duplo,Hechizo doble,Doppelzauber,Double sort,二重法?,2倍呪文,이중 주문,Purskaus (2),,,
actiondesc_burst_2,Simultaneously cast 2 spells,Одновременное наложение двух заклинаний,Lance dois feiticos ao mesmo tempo.,Lanza 2 hechizos a la vez,Wirkt 2 Zauber gleichzeitig,Lance 2 sorts simultanement,同?施放 2 ?法?,連?で2つの呪文を詠唱する,동시에 2개 주문을 시전합니다.,Vetaa kaksi lisaloitsua,,,
action_burst_3,Triple spell,Тройное заклинание,Feitico triplo,Hechizo triple,Dreifachzauber,Triple sort,三重法?,3倍呪文,삼중 주문,,,,
actiondesc_burst_3,Simultaneously cast 3 spells,Одновременное наложение трех заклинаний,Lance tres feiticos ao mesmo tempo.,Lanza 3 hechizos a la vez,Wirkt 3 Zauber gleichzeitig,Lance 3 sorts simultanement,同?施放 3 ?法?,連?で3つの呪文を詠唱する,동시에 3개 주문을 시전합니다.,,,,
action_burst_4,Quadruple spell,Четверное заклинание,Feitico quadruplo,Hechizo cuadruple,Vierfachzauber,Quadruple sort,四重法?,4倍呪文,사중 주문,,,,
actiondesc_burst_4,Simultaneously cast 4 spells,Одновременное наложение четырех заклинаний,Lance quatro feiticos ao mesmo tempo.,Lanza 4 hechizos a la vez,Wirkt 4 Zauber gleichzeitig,Lance 4 sorts simultanement,同?施放 4 ?法?,連?で4つの呪文を詠唱する,동시에 4개 주문을 시전합니다.,,,,
action_scatter_2,Double scatter spell,Двойное рассеянное заклинание,Feitico disperso duplo,Hechizo doble disperso,Doppelstreuzauber,Double sort a dispersion,二重散射法?,2倍スキャタ?呪文,이중 산란 주문,,,,
actiondesc_scatter_2,Simultaneously cast 2 spells with low accuracy,Одновременное наложение двух заклинаний с низкой точностью,Lance dois feiticos ao mesmo tempo com baixa precisao.,Lanza 2 hechizos a la vez con poca precision,Wirkt gleichzeitig 2 Zauber mit geringer Prazision,Lance 2 sorts simultanement avec une faible precision,同?施放 2 ?法?，但精?度?低,照準率の低い2つの呪文を同時に詠唱する,동시에 2개 주문을 낮은 명중률로 시전합니다.,,,,
action_scatter_3,Triple scatter spell,Тройное рассеянное заклинание,Feitico disperso triplo,Hechizo triple disperso,Dreifachstreuzauber,Triple sort a dispersion,三重散射法?,3倍スキャタ?呪文,삼중 산란 주문,,,,
actiondesc_scatter_3,Simultaneously cast 3 spells with low accuracy,Одновременное наложение трех заклинаний с низкой точностью,Lance tres feiticos ao mesmo tempo com baixa precisao.,Lanza 3 hechizos a la vez con poca precision,Wirkt gleichzeitig 3 Zauber mit geringer Prazision,Lance 3 sorts simultanement avec une faible precision,同?施放 3 ?法?，但精?度?低,照準率の低い3つの呪文を同時に詠唱する,동시에 3개 주문을 낮은 명중률로 시전합니다.,,,,
action_scatter_4,Quadruple scatter spell,Четверное рассеянное заклинание,Feitico disperso quadruplo,Hechizo cuadruple disperso,Vierfachstreuzauber,Quadruple sort a dispersion,四重散射法?,4倍スキャタ?呪文,사중 산란 주문,,,,
actiondesc_scatter_4,Simultaneously cast 4 spells with low accuracy,Одновременное наложение четырех заклинаний с низкой точностью,Lance quatro feiticos ao mesmo tempo com baixa precisao.,Lanza 4 hechizos a la vez con poca precision,Wirkt gleichzeitig 4 Zauber mit geringer Prazision,Lance 4 sorts simultanement avec une faible precision,同?施放 4 ?法?，但精?度?低,照準率の低い4つの呪文を同時に詠唱する,동시에 4개 주문을 낮은 명중률로 시전합니다.,,,,
action_i_shape,Formation - behind your back,Структура: за спиной,Formacao - atras de voce,Configuracion - a tu espalda,Formation - hinter deinem Rucken,Formation : dans votre dos,?型 - 背后,編隊 - あなたの背後,패턴 - 뒤 조심,,,,
actiondesc_i_shape,Cast 2 spells: one ahead of and one behind the caster,"Наложение двух заклинаний: одно ? спереди, второе ? сзади заклинателя",Lance dois feiticos: um a frente e outro atras do lancador.,Lanza 2 hechizos: uno delante y otro detras del lanzador,2 Zauber wirken: eine vor und einer hinter dem Wirker,Lance 2 sorts : un devant et un derriere le lanceur,施放 2 ?法?：在施?者前后各一,2つの呪文を詠唱する： 詠唱者の前で1回、後ろで1回詠唱する,"2개 주문을 하나는 시전자 앞, 하나는 뒤로 시전합니다",,,,
action_y_shape,Formation - bifurcated,Структура: раздвоение,Formacao - bifurcado,Configuracion - bifurcacion,Formation - doppelt verzweigt,Formation : bifurquee,?型 - 分叉,編隊 - 分岐,패턴 - 두 갈래,,,,
actiondesc_y_shape,Cast 2 spells in a bifurcated pattern,Наложение двух заклинаний в виде раздвоения,Lance dois feiticos em um padrao bifurcado.,Lanza 2 hechizos en un patron bifurcado,Wirkt 2 verzweigte Zauber,Lance 2 sorts separes en deux branches,以分叉形式施放 2 ?法?,分岐パタ?ンで2つの呪文を詠唱する,2개 주문을 두 갈래 패턴으로 시전합니다.,,,,
action_t_shape,Formation - above and below,Структура: сверху и снизу,Formacao - acima e abaixo,Configuracion - arriba y abajo,Formation - oben und unten,Formation : haut et bas,?型 - 上下,編隊 - 上と下,패턴 - 위와 아래,,,,
actiondesc_t_shape,"Cast 3 spells - ahead, above and below the caster","Наложение трех заклинаний: спереди, сверху и снизу заклинателя","Lance tres feiticos: um a frente, um acima e outro abaixo do lancador.","Lanza 3 hechizos - delante, sobre y bajo el lanzador","Wirkt 3 Zauber - vor, uber und unter dem Wirker","Lance 3 sorts - devant, en haut et sous le lanceur",施放 3 ?法? - 分?位于施?者前方、上方和下方,3つの呪文を詠唱する。詠唱者の前、上と下に詠唱する,"3개 주문을 시전자의 앞, 위, 아래로 시전합니다",,,,
action_w_shape,Formation - trifurcated,Структура: растроение,Formacao - trifurcado,Configuracion - trifurcacion,Formation - dreifach verzweigt,Formation : trifurquee,?型 - 三叉,編隊 - 三叉,패턴 - 세 갈래,,,,
actiondesc_w_shape,Cast 3 spells in a trifurcated pattern,Наложение трех заклинаний в виде растроения,Lance tres feiticos em um padrao trifurcado.,Lanza 3 hechizos en un patron trifurcado,Wirkt 3 verzweigte Zauber,Lance 3 sorts separes en trois branches,以三叉形式施放 3 ?法?,三叉パタ?ンで3つの呪文を詠唱する,3개 주문을 세 갈래 패턴으로 시전합니다.,,,,
action_circle_shape,Formation - hexagon,Структура: шестиугольник,Formacao - hexagono,Configuracion - hexagono,Formation - sechsfach verzweigt,Formation : hexagone,?型 - 六?形,編隊 - 六角形,패턴 - 육각형,,,,
actiondesc_circle_shape,Cast 6 spells in a hexagonal pattern,Наложение шести заклинаний в виде шестиугольника,Lance seis feiticos em um padrao hexagonal.,Lanza 6 hechizos en un patron hexagonal,Wirkt 6 verzweigte Zauber,Lance 6 sorts en hexagone,以六?形施放 6 ?法?,六角形パタ?ンで6つの呪文を詠唱する,6개 주문을 육각형 패턴으로 시전합니다.,,,,
action_pentagram_shape,Formation - pentagon,Структура: пятиугольник,Formacao - pentagono,Configuracion - pentagono,Formation - funffach verzweigt,Formation : pentagone,?型 - 五?形,編隊 - 五角形,패턴 - 오각형,,,,
actiondesc_pentagram_shape,Cast 5 spells in a pentagonal pattern,Наложение пяти заклинаний в виде пятиугольника,Lance cinco feiticos em um padrao pentagonal.,Lanza 5 hechizos en un patron pentagonal,Wirkt 5 verzweigte Zauber,Lance 5 sorts en pentagone,以五?形施放 5 ?法?,五角形パタ?ンで5つの呪文を詠唱する,5개 주문을 오각형 패턴으로 시전합니다.,,,,
action_spread_reduce,Reduce spread,Снижение разброса,Reducao de dispersao,Reducir dispersion,Reduzierte Streuung,Reduit la dispersion,降低散射,?散減少,확산 감소,,,,
actiondesc_spread_reduce,Reduces spread of the projectile,Снижает разброс снарядов,Reduz a dispersao do projetil.,Reduce la dispersion del proyectil,Reduziert die Streuung von Projektilen,Reduit la dispersion du projectile,降低投射物的散射,放射物の?散率を下げる,발사체의 확산 범위가 감소합니다.,,,,
action_recharge,Reduce recharge time,Сокращение времени перезарядки,Reducao do tempo de recarga,Reducir tiempo de recarga,Reduzierte Wiederaufladungs-Zeit,Reduit le temps de recharge,??充能??,リチャ?ジ時間減少,충전 시간 감소,,,,
actiondesc_recharge,Reduces the time between spellcasts,Сокращает время между наложением заклинаний,Reduz o tempo entre lancamentos de feitico.,Reduce el tiempo entre lanzamientos,Reduziert die Zeit zwischen Zaubern,Reduit le temps entre deux lancers de sorts,??法?施放之?的???隔。,呪文詠唱間隔（時間）を減少させる,주문 시전 사이의 시간이 감소합니다.,,,,
action_gravity,Gravity,Гравитация,Gravidade,Gravedad,Schwerkraft,Gravite,重力,重力,중력,,,,
actiondesc_gravity,Increases the force of gravity on the projectile,Повышает действие силы тяжести на снаряд,Aumenta a forca da gravidade sobre o projetil.,Incrementa el efecto de la gravedad en el proyectil,"Erhoht die Schwerkraft, die auf die Projektile wirkt",Augmente l'emprise de la gravite sur le projectile,提高作用于投射物的重力,放射物の重力を?加させる,발사체에 적용되는 중력이 감소합니다.,,,,
action_gravity_anti,Anti-gravity,Антигравитация,Antigravidade,Antigravedad,Anti-Schwerkraft,Anti-gravite,反重力,反重力,반중력,,,,
actiondesc_gravity_anti,Applies an upwards force to the projectile,Применяет к снаряду направленную вверх силу,Aplica uma forca ascendente no projetil.,Aplica una fuerza elevadora en el proyectil,Das Projektil erhalt eine Auftriebskraft,Applique une force ascendante sur le projectile,?投射物施加向上的力,放射物に上向きの力を適用させる,발사체에 위로 올라가는 힘을 가합니다.,,,,
action_penetrate_walls,Penetrate walls,Проникновение через стены,Penetracao de paredes,Penetracion de muros,Wande durchdringen,Penetrer les murs,穿?,壁貫通,벽 관통,,,,
actiondesc_penetrate_walls,Penetration +1,Проникновение +1,Penetracao +1,Penetracion +1,Durchdringung +1,Penetration +1,穿透力 +1,貫通 +1,관통 +1,,,,
action_sinewave,Slithering path,Скользкий путь,Trajeto deslizante,Camino serpenteante,Schlangelpfad,Trajectoire serpentine,蛇行,クネクネ軌道,미끄러지는 이동,,,,
actiondesc_sinewave,Causes the projectile to slither speedily through the air like a snake,"Заставляет снаряд скользить по воздуху быстро, как змея",Faz o projetil deslizar rapidamente pelo ar feito uma cobra.,Hace que el proyectil serpentee por el aire como un reptil,"Bewirkt, dass das Projektil sich schnell wie eine Schlange durch die Luft schlangelt",Fait serpenter le projectile rapidement dans les airs,令投射物像蛇一?在空?中高速穿行,放射物が空中をヘビのように素早くクネクネ移動するようにする,발사체가 뱀처럼 빠르게 미끄러지듯 공기를 가르고 이동합니다.,,,,
action_bounce,Bounce,Отскок,Ricochete,Rebote,Abprallen,Rebond,?跳,バウンド,바운스,,,,
actiondesc_bounce,Causes projectiles to bounce on impact,Заставляет снаряд отскакивать при ударе,Faz os projeteis ricochetearem no impacto.,Hace que el proyectil rebote al impactar,"Bewirkt, dass Projektile beim Einschlag abprallen",Fait rebondir le projectile a l'impact,令投射物在接???跳,放射物が衝?でバウンドするようにする,발사체가 충격을 받으면 튕깁니다.,,,,
action_homing,Homing,Самонаведение,Projetil guiado,Perseguidor,Zielsuchend,Chercheur,追踪,ホ?ミング誘導,유도,,,,
